"MSA","pcgmp","pop","finance","prof.tech","ict","management"
"Akron, OH",32890,699300,0.1294,0.0544,NA,0.05431
"Albany, GA",24270,163000,0.08217,NA,0.00708,NA
"Albany-Schenectady-Troy, NY",36840,850300,0.1578,0.09399,0.04511,NA
"Albuquerque, NM",37660,816000,0.1599,0.09978,0.205,0.006509
"Alexandria, LA",25490,152200,0.09152,0.0379,0.01134,0.01521
"Allentown-Bethlehem-Easton, PA-NJ",30160,794400,0.1367,NA,0.03384,NA
"Altoona, PA",27010,125500,0.08437,0.04513,0.0233,0.009145
"Amarillo, TX",29360,239800,0.1015,NA,0.01307,NA
"Anderson, IN",23310,131000,0.1022,0.02063,0.007531,0.007531
"Anniston-Oxford, AL",27200,112600,0.05911,0.04311,0.009144,0.001633
"Appleton, WI",36440,216100,0.1552,NA,0.01841,NA
"Asheville, NC",28180,397000,0.1633,NA,0.02538,NA
"Athens-Clarke County, GA",26920,182700,0.1248,0.03253,0.01118,NA
"Atlanta-Sandy Springs-Marietta, GA",44770,5114000,0.2128,NA,0.05337,NA
"Auburn-Opelika, AL",22210,127900,0.1313,0.02851,0.01091,0.002464
"Austin-Round Rock, TX",43200,1527000,0.1388,0.09211,0.2495,NA
"Baltimore-Towson, MD",40410,2658000,0.1999,0.107,0.0493,NA
"Bangor, ME",29850,147800,0.129,0.03921,NA,0.006346
"Baton Rouge, LA",35560,763600,0.1296,NA,0.01256,NA
"Battle Creek, MI",31150,137200,0.08402,0.01474,NA,0.02223
"Bay City, MI",22870,107900,0.1037,0.1033,0.08752,0.002026
"Bend, OR",35450,148800,0.3053,0.04852,NA,0.002843
"Billings, MT",33300,147700,0.1623,NA,0.01932,NA
"Binghamton, NY",26240,246400,0.09172,0.04811,0.1882,0.008971
"Birmingham-Hoover, AL",39480,1100000,NA,NA,0.02113,NA
"Blacksburg-Christiansburg-Radford, VA",27790,155800,0.08545,NA,0.01755,NA
"Bloomington, IN",24990,181500,0.114,0.04122,0.02469,NA
"Bloomington-Normal, IL",40810,161600,0.3432,NA,0.02289,NA
"Boston-Cambridge-Quincy, MA-NH",55630,4467000,0.2614,0.129,0.1196,0.01875
"Boulder, CO",53110,285000,0.1284,0.1908,0.2764,0.009445
"Bradenton-Sarasota-Venice, FL",31770,678800,0.2108,0.07271,0.02657,0.009043
"Bridgeport-Stamford-Norwalk, CT",77860,890500,0.3791,0.08485,NA,0.04285
"Brownsville-Harlingen, TX",15240,378200,0.1013,0.02932,0.01804,0.003643
"Brunswick, GA",27300,99820,0.1233,NA,0.007339,NA
"Buffalo-Niagara Falls, NY",32060,1132000,0.1661,0.05875,NA,0.02028
"Burlington-South Burlington, VT",43560,206200,NA,0.07792,0.1837,0.001002
"Canton-Massillon, OH",26830,407400,0.1466,NA,0.01235,NA
"Cape Coral-Fort Myers, FL",33560,568300,0.2555,0.04572,0.01594,0.01038
"Cape Girardeau-Jackson, MO-IL",27730,92630,0.07824,0.02764,0.01129,0.007396
