StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC_2,Q22_First_Click,Q22_Last_Click,Q22_Page_Submit,Q22_Click_Count,Compet_1,Compet_2,Compet_3,Compet_4,Compet_5,Compet_6,Compet_7,Compet_8,Compet_9,Compet_10,Compet_11,Compet_12,Compet_13,Compet_14,Compet_15,Warm_Wom_1,Warm_Pol_1,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,Age_1,GenID,GenID_3_TEXT,Race,PolLean_1,PartyID,PartyID_3_TEXT,Edu,US,SDO5r,SDO6r,SDO7r,SDO8r,SDO13r,SDO14r,SDO15r,SDO16r,SDO_M,masculine_mean,feminine_mean,Neutral_mean,competency_mean
10/20/2017 13:37:16,10/20/2017 13:40:38,0,98.250.168.165,100,202,1,10/20/2017 13:40:39,R_1Oq0dfCD2BlU39c, , , , ,42.545700073242,-83.216499328613,anonymous,EN,1,0,0,19.229,0,6,7,6,3,6,7,7,7,7,6,5,5,2,2,7,100,19,1,1,1,1,7,7,7,7,1,5,2,6,7,7,3,7,22,2, ,1,4,4, ,5,1,1,1,1,1,1,1,5,1,1.875,3.8,7,5.8,5.53333333333333
10/20/2017 13:36:39,10/20/2017 13:43:18,0,70.194.38.25,100,398,1,10/20/2017 13:43:19,R_1QbZWrJ4WNGlF7K, , , , ,42.562606811523,-83.609901428223,anonymous,EN,1,10.143,10.143,19.093,1,2,5,1,2,4,4,4,4,2,4,2,2,1,3,4,80,50,1,7,7,4,2,3,7,2,4,7,7,7,7,7,7,1,19,1, ,1,7,2, ,2,1,6,5,1,6,1,1,1,7,4.5,2.4,4.2,2.2,2.93333333333333
10/20/2017 13:42:36,10/20/2017 13:46:33,0,98.224.227.109,100,237,1,10/20/2017 13:46:34,R_3hoUomreFn0nm7G, , , , ,42.148193359375,-83.814796447754,anonymous,EN,1,2.853,11.053,12.189,5,5,6,6,6,7,7,7,6,6,6,6,6,6,6,6,100,15,2,1,1,1,7,7,6,7,1,6,2,4,6,7,5,5,19,2, ,1,1,1, ,3,1,1,1,2,1,2,1,3,3,2,6,6.4,6,6.13333333333333
10/20/2017 14:03:26,10/20/2017 14:05:59,0,93.185.115.5,100,152,1,10/20/2017 14:05:59,R_3ikGiHVusOOLpVF, , , , ,42.766693115234,13.050003051758,anonymous,EN,1,7.435,10.066,11.232,2,5,5,5,3,4,5,5,5,5,5,5,5,4,4,6,61,32,2,2,4,1,1,4,3,3,2,3,2,2,2,3,2,5,65,1, ,1,5,4, ,5,1,7,4,5,5,6,5,6,3,3.6875,4,5.2,5,4.73333333333333
10/20/2017 14:06:50,10/20/2017 14:10:52,0,35.2.166.70,100,241,1,10/20/2017 14:10:52,R_306wZai6rW6IKqd, , , , ,42.324096679688,-83.711303710938,anonymous,EN,1,0,0,17.508,0,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,50,50,1,1,1,1,7,1,7,7,1,1,1,1,7,7,7,7,20,2, ,1,1,1, ,4,1,1,7,1,1,1,1,1,1,1.375,4.6,4,4,4.2
10/20/2017 14:14:43,10/20/2017 14:18:35,0,147.124.200.110,100,231,1,10/20/2017 14:18:36,R_3k1T7qShmMw9uJw, , , , ,42.293502807617,-84.750900268555,anonymous,EN,1,2.981,10.856,11.609,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,95,50,5,5,5,4,4,5,6,3,3,1,1,5,5,6,6,6,21,2, ,6,3,1, ,2,1,4,3,2,5,3,2,2,2,3.25,6,6,6,6
10/20/2017 14:09:38,10/20/2017 14:19:16,0,141.213.27.230,100,578,1,10/20/2017 14:19:17,R_OcyYTNc3y3j5fTr, , , , ,42.277603149414,-83.740898132324,anonymous,EN,1,4.001,45.721,50.367,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,50,10,4,3,3,1,5,5,7,4,4,4,4,4,5,5,5,5,24,4, ,1,5,4, ,5,1,3,3,1,4,3,3,3,3,3.125,4,4,4,4
10/20/2017 14:16:14,10/20/2017 14:21:01,0,75.161.99.221,100,286,1,10/20/2017 14:21:01,R_1kIcSmSOuXXupg2, , , , ,35.140396118164,-106.48770141602,anonymous,EN,1,8.451,10.286,11.382,4,5,6,4,4,5,6,6,6,5,6,6,5,4,4,5,100,40,1,1,1,1,7,7,7,7,1,1,5,3,7,7,7,7,23,1, ,1,2,1, ,3,1,1,1,1,1,1,1,1,1,1.375,4.4,5.8,5.2,5.13333333333333
10/20/2017 14:10:03,10/20/2017 14:33:05,0,35.3.78.160,100,1381,1,10/20/2017 14:33:05,R_2q4VYvEz5V45PqZ, , , , ,42.324096679688,-83.711303710938,anonymous,EN,1,2.187,12.204,12.756,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,25,1, ,1,4,4, ,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4
10/20/2017 14:56:29,10/20/2017 15:06:23,0,35.1.102.245,100,594,1,10/20/2017 15:06:24,R_1n7PenXpVfeQsPY, , , , ,42.324096679688,-83.711303710938,anonymous,EN,1,2.797,2.797,25.867,1,6,7,6,6,7,7,7,6,6,6,7,6,6,6,7,100,50,1,5,1,1,4,3,1,6,2,1,4,2,7,6,5,7,20,2, ,1,2,1, ,5,2,4,5,7,2,1,2,3,1,2.625,6.2,6.8,6.2,6.4
